time,G(i),H_sun,T2m,WS10m,Int
20230109:2211,0,0,8.21,7.38,0
20230109:2311,0,0,7.52,8.41,0
20230110:0011,0,0,6.9,8.62,0
20230110:0111,0,0,6.61,9.31,0
20230110:0211,0,0,6.94,11.24,0
20230110:0311,0,0,7.82,10.69,0
20230110:0411,0,0,9.53,11.1,0
20230110:0511,0,0,11.33,10.9,0
20230110:0611,0,0,11.65,12.07,0
20230110:0711,0,0,11.71,12.69,0
20230110:0811,0,0,11.7,13.17,0
20230110:0911,0.92,1.73,11.52,13.31,0
20230110:1011,27.56,7.76,11.54,14.69,0
20230110:1111,59.88,12.15,11.54,13.66,0
20230110:1211,63.39,14.53,11.4,11.72,0
20230110:1311,49.61,14.71,10.64,11.38,0
20230110:1411,22.05,12.67,9.98,10.55,0
20230110:1511,18.38,8.59,9.68,10.41,0
20230110:1611,5.51,2.8,9.19,12.48,0
20230110:1711,0,0,8.93,11.66,0
20230110:1811,0,0,8.68,10.76,0
20230110:1911,0,0,8.25,10.76,0
20230110:2011,0,0,8.45,10.28,0
20230110:2111,0,0,8.51,10.76,0
20230110:2211,0,0,8.2,11.31,0
20230110:2311,0,0,7.84,12.41,0
20230111:0011,0,0,7.8,12.62,0
20230111:0111,0,0,7.28,12.97,0
20230111:0211,0,0,7.72,13.59,0
20230111:0311,0,0,7.73,14.48,0
20230111:0411,0,0,7.51,13.52,0
20230111:0511,0,0,7.72,13.1,0
20230111:0611,0,0,7.91,13.72,0
20230111:0711,0,0,7.5,13.93,0
20230111:0811,0,0,7.37,13.66,0
20230111:0911,0.92,1.82,7.08,13.1,0
20230111:1011,125.69,7.87,6.95,14.83,0
20230111:1111,60.77,12.27,7.32,15.31,0
20230111:1211,376.39,14.68,8.47,14.41,0
20230111:1311,319.7,14.87,8.92,13.93,0
20230111:1411,25.73,12.84,9.19,12.97,0
20230111:1511,44.43,8.77,8.85,11.72,0
20230111:1611,4.59,2.98,8.64,10.07,0
20230111:1711,0,0,9.12,11.38,0
20230111:1811,0,0,9.44,11.17,0
20230111:1911,0,0,9.61,14.07,0
20230111:2011,0,0,10.82,18.28,0
20230111:2111,0,0,11.53,16.97,0
20230111:2211,0,0,11.33,15.24,0
20230111:2311,0,0,10.88,12.69,0
20230112:0011,0,0,10.62,11.38,0
20230112:0111,0,0,10.47,10.07,0
20230112:0211,0,0,10.32,9.45,0
20230112:0311,0,0,10.43,9.24,0
20230112:0411,0,0,10.63,10.9,0
20230112:0511,0,0,10.42,13.1,0
20230112:0611,0,0,9.93,15.17,0
20230112:0711,0,0,9.21,15.1,0
20230112:0811,0,0,8.82,15.45,0
20230112:0911,7.35,1.92,8.63,16.76,0
20230112:1011,17.46,7.99,8.17,16,0
20230112:1111,336.36,12.4,7.97,16.76,0
20230112:1211,26.64,14.83,7.99,17.1,0
20230112:1311,227.8,15.04,7.42,17.66,0
20230112:1411,122.25,13.02,7.76,17.93,0
20230112:1511,16.54,8.95,7.87,17.86,0
20230112:1611,11.03,3.16,7.65,18.28,0
20230112:1711,0,0,7.89,17.45,0
20230112:1811,0,0,8.29,16.76,0
20230112:1911,0,0,8.24,16.55,0
20230112:2011,0,0,8.35,16.14,0
20230112:2111,0,0,8.31,15.24,0
20230112:2211,0,0,8.06,15.31,0
20230112:2311,0,0,7.95,15.17,0
20230113:0011,0,0,8.1,15.17,0
20230113:0111,0,0,8.11,14.14,0
20230113:0211,0,0,8.15,12.97,0
20230113:0311,0,0,8.05,12.34,0
20230113:0411,0,0,8,12.97,0
20230113:0511,0,0,8.18,12.69,0
20230113:0611,0,0,8.08,11.93,0
20230113:0711,0,0,8.06,11.52,0
20230113:0811,0,0,8.23,10.48,0
20230113:0911,6.43,2.02,8.23,9.45,0
20230113:1011,203.02,8.11,8.21,7.24,0
20230113:1111,299.66,12.54,8.55,7.24,0
20230113:1211,55.13,14.98,8.81,8.34,0
20230113:1311,113.76,15.21,8.87,8.28,0
20230113:1411,46.86,13.2,8.07,7.45,0
20230113:1511,23.89,9.13,7.92,8.14,0
20230113:1611,4.59,3.35,8.02,8.07,0
20230113:1711,0,0,8.68,9.52,0
20230113:1811,0,0,9.41,10.14,0
20230113:1911,0,0,9.58,10.69,0
20230113:2011,0,0,9.37,9.31,0
20230113:2111,0,0,9.54,8.55,0
20230113:2211,0,0,9.92,8.28,0
20230113:2311,0,0,9.68,8.21,0
20230114:0011,0,0,9.13,6.97,0
20230114:0111,0,0,8.68,7.66,0
20230114:0211,0,0,8.18,8,0
20230114:0311,0,0,7.68,8.48,0
20230114:0411,0,0,7.17,9.1,0
20230114:0511,0,0,6.76,9.38,0
20230114:0611,0,0,6.4,9.93,0
20230114:0711,0,0,6.3,10.9,0
20230114:0811,0,0,6.35,11.66,0
20230114:0911,8.27,2.13,6.26,12.28,0
20230114:1011,12.86,8.23,6.15,12,0
20230114:1111,484.74,12.69,5.93,12.69,0
20230114:1211,177.12,15.15,5.82,12.41,0
20230114:1311,18.38,15.39,5.66,11.93,0
